NpcId,DisplayName,AgentTier,StoryPriority,AgeRange,Role,InitialLocations,CoreFunction,MvpPriority,Description
lin_chaoyin,林潮音,S,5,17-18,高中生,"school;temple;coffee_shop;beach",巫女线核心与灵力异常角色,P0,从小体质特殊，经常梦见潮水吞没小镇，是旧信仰和青春线的核心人物
chen_yuanzhou,陈远舟,S,5,18,高中生,"school;bookstore;beach;seafood_shop;port",离岛梦想与青春线男主,P0,想考上大学离开归潮镇，也想带林潮音一起走
chen_haisheng,陈海生,S,5,42-48,渔民/海鲜店老板,"seafood_shop;port;wine_bar;chen_home",家庭悲剧与邪教易感角色,P0,经济压力和家庭矛盾让他逐渐对旧信仰失望，容易被顾沉舟拉拢
gu_chenzhou,顾沉舟,S,5,28-35,富有游客/邪教传教士,"port;wine_bar;plaza;clinic;mountain_forest",邪教传播线核心反派,P0,表面温和优雅，实际想在灾难前完成换神计划
huiyuan,慧圆,A,4,50-58,寺庙和尚/管理者,"temple;wine_bar;temple_area",寺庙腐败与巫女线推手,P0,管理寺庙多年，克扣香火并试图利用林潮音挽回寺庙声望
jiang_xueyi,江雪仪,S,5,30-38,新医生,"clinic;school;home;mountain_forest",医疗线与邪教接应者,P1,接手诊所后快速获得信任，实际与顾沉舟有关
xu_mingchuan,许明川,S,5,24-26,新任民警,"port;police_station;apartment;plaza",侦探线与秩序代理,P1,初到归潮镇的年轻警察，逐渐发现小镇异常
xu_qing,许晴,A,4,17-18,外来学生,"school;clinic;home;police_station",外来视角与医疗线连接者,P1,许明川的妹妹，敏感细腻，容易注意到诊所异常
zhou_xingzhi,周行知,A,4,22-24,实习记者/民俗调查者,"newspaper;port;police_station;bookstore;temple",信息记录者与侦探线辅助,P1,以海岛民俗为课题来到归潮镇，常撞见不该撞见的事
su_wan,苏婉,A,4,40-45,海鲜店老板娘,"seafood_shop;chen_home;wine_bar",家庭线核心与道德镜子,P1,陈远舟的母亲，长期忍受陈海生压力但仍维持家庭
ye_keke,叶可可,B,3,25-30,咖啡奶茶店店长,"coffee_shop;plaza;school;wine_bar",日常情感支持与信息交汇点,P1,开朗热心，容易成为八卦和轻松日常的承载者
lin_yueqin,林月琴,A,4,38-42,酒屋老板娘,"wine_bar;plaza",母女线与成人关系线,P1,林潮音的母亲，圆滑复杂，努力让女儿过得比自己好
he_laosan,何老三,B,3,45-50,水手船长/港口灰色中介,"port;wine_bar;port_area",港口偷渡线与证人线,P1,熟悉所有海路，贪财怕麻烦，不是邪教徒但可能帮错人
zhao_shouzheng,赵守正,B,3,50-55,老警察/派出所负责人,"police_station;plaza;temple",秩序锚点与许明川导师,P1,归潮镇老警察，见过很多小镇不能明说的关系
