EventId,EventName,EventType,WeekRange,DayRange,TimeSlot,LocationId,ParticipantNpcIds,RiskLevel,TriggerWeight,AiTextPolicy,HistoryRecordPolicy,Description
intro_heaven_notice,天界绩效通知,Anchor,W1,Day1,Morning,temple,"heaven_messenger;tudi_gong",Fatal,1000,None,Full,天界使者向土地公送达绩效通知和60天考核要求
intro_underworld_whisper,地府低语诱惑,Anchor,W1,Day1,Night,temple,"underworld_messenger;tudi_gong",Fatal,1000,None,Full,地府使者诱惑土地公走向阴德与邪路路线
w1_first_week_summary,第一次周结算,Anchor,W1,Day7,Night,temple,all_npc,Low,0,None,Full,第1周结束，系统显示香火、神力、阳德、阴德变化
w1_chaoyin_study,潮音店内复习,Daily,W1,Day1-7,Afternoon,coffee_shop,"lin_chaoyin;chen_yuanzhou",Low,3,DialogueAllowed,Summary,林潮音与陈远舟在咖啡店复习功课
w1_fisher_net_repair,渔民晒网,Daily,W1,Day1-7,Morning,beach,chen_haisheng,Low,2,None,None,陈海生在沙滩晒网并修补渔具
w1_clinic_visit,诊所义诊,Daily,W1,Day1-7,Morning,clinic,"jiang_xueyi;xu_qing",Low,3,DialogueAllowed,Summary,江雪仪在诊所提供义诊，许晴帮忙
w1_temple_concern,寺庙香火不足,Daily,W1,Day3-5,Morning,temple,"huiyuan;lin_yueqin",Low,2,None,Summary,慧圆发现寺庙香火收入不足，暗中克扣香火
w1_keke_gossip,可可店内八卦,Daily,W1,Day1-7,Afternoon,coffee_shop,"ye_keke;lin_chaoyin;chen_yuanzhou",Low,1,DialogueAllowed,Summary,叶可可在咖啡店与林潮音、陈远舟闲聊八卦
w2_gus_cult_arrive,顾沉舟偷渡上岛,Anchor,W2,Day8,Night,port,"gu_chenzhou;he_laosan",High,1000,None,Full,顾沉舟通过何老三的灰色通道来到归潮镇并建立游客身份
w2_doctor_arrive,江雪仪接手诊所,Anchor,W2,Day9,Morning,clinic,"jiang_xueyi;xu_mingchuan",Medium,1000,None,Full,江雪仪接手归潮镇诊所并快速获得岛民信任
w2_port_anomaly,港口异常事件,Anchor,W2,Day11,Night,port,"zhou_xingzhi;he_laosan",Medium,1000,None,Full,周行知在港口发现异常渡口记录和可疑物资
w2_free_clinic,免费义诊,Daily,W2,Day8-14,Morning,clinic,"jiang_xueyi;xu_qing",Low,3,DialogueAllowed,Summary,江雪仪继续为岛民提供免费义诊，许晴在旁帮忙
w2_keke_social,可可店内社交,Daily,W2,Day8-14,Afternoon,coffee_shop,"ye_keke;chen_yuanzhou;lin_chaoyin",Low,2,DialogueAllowed,Summary,叶可可在咖啡店社交，顾沉舟开始进入她的视野
w2_yueqin_chenhai_ambiguity,林月琴陈海生暧昧暗示,Daily,W2,Day10-12,Night,wine_bar,"lin_yueqin;chen_haisheng",Low,2,None,Summary,林月琴与陈海生在酒屋的暧昧行为被注意到
w2_gus_approach_chenhai,顾沉舟接触陈海生,Key,W2,Day12-13,Afternoon,seafood_shop,"gu_chenzhou;chen_haisheng",Medium,5,None,Full,顾沉舟开始接近陈海生，试探其愤怒和不满
w3_first_victim_case,第一批异常案件,Anchor,W3,Day18,Night,plaza,"xu_mingchuan;zhao_shouzheng",High,1000,None,Full,归潮镇发生第一批异常案件，许明川接手调查
w3_night_boat_record,夜船记录,Anchor,W3,Day19,Morning,port,"zhou_xingzhi;he_laosan",High,1000,None,Full,周行知在港口发现夜船记录，这是邪教活动的重要证据
w3_witch_candidate,林潮音被推为巫女候选,Anchor,W3,Day20,Morning,temple,"huiyuan;lin_chaoyin;lin_yueqin",High,1000,None,Full,慧圆发现林潮音灵力异常，开始推举她为庙会巫女
w3_gus_contact_chenhai,陈海生被顾沉舟接触,Anchor,W3,Day21,Afternoon,wine_bar,"gu_chenzhou;chen_haisheng",Medium,1000,None,Full,顾沉舟正式接触陈海生并开始拉拢
w3_chenhai_tantrums,陈海生发脾气,Daily,W3,Day15-21,Any,seafood_shop,"chen_haisheng;su_wan;chen_yuanzhou",Medium,3,DialogueAllowed,Summary,陈海生在家庭压力和经济压力下情绪失控
w3_chaoyin_nightmare,林潮音噩梦,Key,W3,Day16-20,Night,chaoyin_home,lin_chaoyin,High,5,DialogueAllowed,Full,林潮音梦见潮水吞没小镇，巫女线风险上升
w3_yuanzhou_exam_prep,陈远舟备考,Daily,W3,Day15-21,Afternoon,school,"chen_yuanzhou;lin_chaoyin",Low,3,DialogueAllowed,Summary,陈远舟为升学做准备并与林潮音互相支持
w4_lin_respond_witch,林潮音回应巫女身份,Anchor,W4,Day23,Morning,temple,"lin_chaoyin;huiyuan;lin_yueqin",High,1000,None,Full,林潮音对寺庙推举的巫女身份做出回应
w4_yuanzhou_exam_pressure,陈远舟推进升学计划,Anchor,W4,Day25,Afternoon,school,"chen_yuanzhou;lin_chaoyin",High,1000,None,Full,陈远舟高考临近，升学压力剧增
w4_xuqing_clinic_anomaly,许晴接触诊所异常,Key,W4,Day27,Morning,clinic,"xu_qing;jiang_xueyi",Medium,5,None,Full,许晴在江雪仪的诊所注意到可疑医疗行为和记录
w4_zhou_warned,周行知被警告,Key,W4,Day28,Afternoon,police_station,"zhou_xingzhi;xu_mingchuan;zhao_shouzheng",Medium,5,DialogueAllowed,Full,周行知的调查引起注意，被要求谨慎报道
w4_gus_secret_meeting,顾沉舟秘密聚会,Key,W4,Day24-26,Night,mountain_forest,"gu_chenzhou;chen_haisheng",High,5,None,Full,顾沉舟组织秘密聚会，邪教传播值上升
w4_yuanzhou_chaoyin_agreement,陈远舟与林潮音约定,Key,W4,Day27,Night,beach,"chen_yuanzhou;lin_chaoyin",Medium,5,DialogueAllowed,Full,陈远舟与林潮音对未来做出约定
w5_disaster_dream,土地公梦见地震海啸,Anchor,W5,Day29,Night,temple,tudi_gong,High,1000,None,Full,土地公在梦中清晰看到第60天将发生重大天灾
w5_gus_secret_gathering,顾沉舟秘密聚会成型,Anchor,W5,Day31,Night,mountain_forest,"gu_chenzhou;chen_haisheng",High,1000,None,Full,顾沉舟组织邪教秘密聚会，准备传播新信仰
w5_chenhai_first_cult,陈海生首次参加邪教活动,Anchor,W5,Day33,Night,wine_bar,"chen_haisheng;gu_chenzhou",High,1000,None,Full,陈海生第一次秘密参加顾沉舟组织的邪教活动
w5_temple_account_issue,寺庙账目疑点扩大,Anchor,W5,Day35,Morning,temple,"huiyuan;zhou_xingzhi",High,1000,None,Full,慧圆的寺庙账目疑点被周行知注意到
w5_chaoyin_pressure_grows,林潮音压力增长,Daily,W5,Day29-35,Daytime,school,"lin_chaoyin;huiyuan;lin_yueqin",Medium,3,DialogueAllowed,Summary,林潮音在巫女身份和学业压力之间承受更多关注
