EventId,EventName,EventType,WeekRange,DayRange,TimeSlot,LocationId,ParticipantNpcIds,RiskLevel,TriggerWeight,AiTextPolicy,HistoryRecordPolicy,RequiredConditions,Description

# ========================================
# ANCHOR EVENTS (必触发，权重 >= 1000)
# ========================================

intro_heaven_notice,天界绩效通知,Anchor,W1,Day1,Morning,temple,"heaven_messenger;tudi_gong",Fatal,1000,None,Full,,天界使者向土地公送达绩效通知和60天考核要求
intro_underworld_whisper,地府低语诱惑,Anchor,W1,Day1,Night,temple,"underworld_messenger;tudi_gong",Fatal,1000,None,Full,,地府使者诱惑土地公走向阴德与邪路路线
w1_first_week_summary,第一次周结算,Anchor,W1,Day7,Night,temple,all_npc,Low,1000,None,Full,,第1周结束，系统显示香火、神力、阳德、阴德变化
w2_gus_cult_arrive,顾沉舟偷渡上岛,Anchor,W2,Day8,Night,port,"gu_chenzhou;he_laosan",High,1000,None,Full,,顾沉舟通过何老三的灰色通道来到归潮镇并建立游客身份
w2_doctor_arrive,江雪仪接手诊所,Anchor,W2,Day9,Morning,clinic,"jiang_xueyi;xu_mingchuan",Medium,1000,None,Full,,江雪仪接手归潮镇诊所并快速获得岛民信任
w2_port_anomaly,港口异常事件,Anchor,W2,Day11,Night,port,"zhou_xingzhi;he_laosan",Medium,1000,None,Full,,周行知在港口发现异常渡口记录和可疑物资
w3_first_victim_case,第一批异常案件,Anchor,W3,Day18,Night,plaza,"xu_mingchuan;zhao_shouzheng",High,1000,None,Full,,归潮镇发生第一批异常案件，许明川接手调查
w3_night_boat_record,夜船记录,Anchor,W3,Day19,Morning,port,"zhou_xingzhi;he_laosan",High,1000,None,Full,,周行知在港口发现夜船记录，这是邪教活动的重要证据
w3_witch_candidate,林潮音被推为巫女候选,Anchor,W3,Day20,Morning,temple,"huiyuan;lin_chaoyin;lin_yueqin",High,1000,None,Full,,慧圆发现林潮音灵力异常，开始推举她为庙会巫女
w3_gus_contact_chenhai,陈海生被顾沉舟接触,Anchor,W3,Day21,Afternoon,wine_bar,"gu_chenzhou;chen_haisheng",Medium,1000,None,Full,,顾沉舟正式接触陈海生并开始拉拢
w4_midterm_report,中期报告,Anchor,W4,Day28,Night,temple,"heaven_messenger;tudi_gong",Medium,1000,None,Full,,天界使者送来第30天中期报告，评估香火和信仰情况
w4_gus_secret_meeting,顾沉舟首次秘密聚会,Anchor,W4,Day25,Night,mountain_forest,"gu_chenzhou;chen_haisheng",High,1000,None,Full,,顾沉舟组织第一次秘密信仰聚会
w5_first_cult_sacrifice,首次邪教献祭未遂,Anchor,W5,Day32,Night,mountain_forest,"gu_chenzhou;chen_haisheng",High,1000,None,Full,,顾沉舟组织第一次小型献祭仪式，被撞破未遂
w5_temple_account_scandal,寺庙账目丑闻初现,Anchor,W5,Day35,Any,plaza,"zhou_xingzhi;huiyuan",Medium,1000,None,Full,,周行知开始调查寺庙账目异常
w6_cult_public_announce,邪教公开招募,Anchor,W6,Day42,Night,plaza,"gu_chenzhou;chen_haisheng",Fatal,1000,None,Full,,顾沉舟公开进行集会，开始尝试公开传教
