BondId,NpcAId,NpcBId,BondType,InitialStrength,Visibility,MainStoryLine,RouteInfluence,UiPriority,Description
bond_chaoyin_yuanzhou,lin_chaoyin,chen_yuanzhou,YouthBond,65,Visible,青春离岛线,GoodEnding,1,青梅竹马式互相支撑关系，是MVP最重要缘线
bond_yuanzhou_chenhai,chen_yuanzhou,chen_haisheng,Family,35,Visible,陈家家庭线,Risk,1,父子关系紧张，容易被家庭冲突事件继续削弱
bond_chenhai_suwan,chen_haisheng,su_wan,Marriage,30,Visible,陈家家庭线,Risk,2,夫妻长期压力积累，争吵会推高火灾和邪教风险
bond_chaoyin_huiyuan,lin_chaoyin,huiyuan,FaithPressure,25,Visible,巫女线,Risk,2,慧圆把林潮音视为挽回寺庙声望的工具
bond_chaoyin_yueqin,lin_chaoyin,lin_yueqin,Family,45,Visible,母女线,Mixed,2,母女相互关心但沟通不稳定
bond_chenhai_guchenzhou,chen_haisheng,gu_chenzhou,CultTemptation,20,Hidden,邪教传播线,EvilRoute,1,陈海生对顾沉舟的信任初始较低，但怨气会快速放大该关系
bond_guchenzhou_jiangxueyi,gu_chenzhou,jiang_xueyi,SecretAlliance,70,Hidden,邪教医疗线,EvilRoute,2,顾沉舟与江雪仪存在隐藏合作关系，前期不可直接暴露
bond_xumingchuan_xuqing,xu_mingchuan,xu_qing,Sibling,70,Visible,侦探线,GoodEnding,2,兄妹关系稳定，是许晴发现诊所异常后的安全支撑
bond_xumingchuan_zhao,xu_mingchuan,zhao_shouzheng,Mentor,55,Visible,侦探线,Order,2,赵守正既保护许明川也限制他过度行动
bond_zhouxingzhi_xumingchuan,zhou_xingzhi,xu_mingchuan,Investigation,35,Visible,侦探线,GoodEnding,2,记者与警察之间的互补调查关系
bond_zhouxingzhi_huiyuan,zhou_xingzhi,huiyuan,Suspicion,20,Visible,寺庙账目线,Order,3,周行知对寺庙账目产生怀疑
bond_keke_chaoyin,ye_keke,lin_chaoyin,Friendship,55,Visible,日常支持线,GoodEnding,3,叶可可是林潮音压力外显的重要缓冲角色
bond_keke_guchenzhou,ye_keke,gu_chenzhou,Curiosity,15,Hidden,邪教传播线,Risk,3,叶可可可能被顾沉舟的外来者形象吸引但不是核心信徒
bond_he_laosan_guchenzhou,he_laosan,gu_chenzhou,Transaction,40,Hidden,港口夜船线,EvilRoute,2,何老三为顾沉舟提供灰色通道但以利益为主
bond_he_laosan_zhouxingzhi,he_laosan,zhou_xingzhi,Suspicion,20,Visible,夜船调查线,Order,3,周行知可能从何老三处发现夜船记录
bond_yueqin_chenhai,lin_yueqin,chen_haisheng,AmbiguousAdult,25,Visible,成人关系线,Risk,3,暧昧传闻会加剧陈家矛盾
bond_suwan_yueqin,su_wan,lin_yueqin,Tension,25,Visible,成人关系线,Risk,3,苏婉对林月琴与陈海生关系有所察觉
bond_xuqing_jiangxueyi,xu_qing,jiang_xueyi,TrustThenDoubt,45,Visible,医疗线,Risk,2,许晴初期信任江雪仪，随后可能发现异常
