KarmaNodeId,OwnerNpcId,KarmaLineId,NodeOrder,NodeName,WeekRange,RequiredConditions,SuccessBias,FailureBias,VisibleToPlayer,RelatedEventIds,Description
karma_chaoyin_01,lin_chaoyin,chaoyin_witch_line,1,噩梦初现,W1-W3,none,awakened_self_awareness,faith_pressure,Yes,w3_chaoyin_nightmare,林潮音开始意识到潮水噩梦并非普通压力
karma_chaoyin_02,lin_chaoyin,chaoyin_witch_line,2,巫女候选,W3-W4,bond_chaoyin_huiyuan>=25,protective_faith,used_as_symbol,Yes,w3_witch_candidate;w4_lin_respond_witch,寺庙把林潮音推向巫女身份
karma_chaoyin_03,lin_chaoyin,chaoyin_witch_line,3,身份回应,W4-W7,bond_chaoyin_yuanzhou>=50,choose_self,become_tool,Yes,w7_chaoyin_witch_identity_fixed,林潮音决定如何面对巫女身份和未来
karma_chaoyin_04,lin_chaoyin,chaoyin_witch_line,4,灾前选择,W8-Final,chaoyin_witch_line>=70,guardian_survives,ritual_victim,Partial,final_day_approaches_temple;final_aftermath_settles,林潮音在终局中成为守护者或被信仰吞没
karma_yuanzhou_01,chen_yuanzhou,yuanzhou_leave_line,1,升学计划,W1-W3,none,study_focus,family_drag,Yes,w3_yuanzhou_exam_prep,陈远舟想靠升学离开归潮镇
karma_yuanzhou_02,chen_yuanzhou,yuanzhou_leave_line,2,未来约定,W4-W6,bond_chaoyin_yuanzhou>=60,shared_future,separation,Yes,w4_yuanzhou_chaoyin_agreement;w6_chaoyin_yuanzhou_relation_turn,陈远舟与林潮音确认或动摇共同未来
karma_yuanzhou_03,chen_yuanzhou,yuanzhou_leave_line,3,家庭拉扯,W6-W7,bond_yuanzhou_chenhai<=40,protect_family,break_family,Yes,w6_chenhai_family_conflict;w7_chenhai_critical_choice,陈远舟必须面对父亲与离岛梦想冲突
karma_yuanzhou_04,chen_yuanzhou,yuanzhou_leave_line,4,离岛或留下,Final,public_order>=40,hopeful_departure,trapped_on_island,Partial,final_aftermath_settles,终局决定陈远舟是否能带着希望离开
karma_chenhai_01,chen_haisheng,chenhai_cult_line,1,怨气积累,W1-W3,none,vented_pressure,resentment_growth,Yes,w1_fisher_net_repair;w3_chenhai_tantrums,陈海生因经济和家庭压力积累怨气
karma_chenhai_02,chen_haisheng,chenhai_cult_line,2,被顾沉舟接触,W2-W3,bond_chenhai_guchenzhou>=20,resist_cult,cult_interest,Partial,w2_gus_approach_chenhai;w3_gus_contact_chenhai,顾沉舟开始利用陈海生的不满
karma_chenhai_03,chen_haisheng,chenhai_cult_line,3,首次参加,W5,bond_chenhai_guchenzhou>=40,leave_gathering,join_gathering,Partial,w5_chenhai_first_cult,陈海生第一次正式接触邪教活动
karma_chenhai_04,chen_haisheng,chenhai_cult_line,4,火灾边缘,W6-W8,stress>=70,confession_or_help,fire_risk,Yes,w6_fire_tendency;w8_fire_risk_assessment,陈海生可能走向强硬不幸结局
karma_guchenzhou_01,gu_chenzhou,guchenzhou_cult_line,1,上岛伪装,W2,none,watched_early,settled_in,Hidden,w2_gus_cult_arrive,顾沉舟以游客身份进入归潮镇
karma_guchenzhou_02,gu_chenzhou,guchenzhou_cult_line,2,秘密聚会,W4-W5,cult_influence>=20,exposed_clues,cult_network,Partial,w4_gus_secret_meeting;w5_gus_secret_gathering,顾沉舟组织秘密信仰网络
karma_guchenzhou_03,gu_chenzhou,guchenzhou_cult_line,3,公开传播,W6-W7,cult_influence>=45,public_resistance,public_conversion,Yes,w6_gus_public_gathering;w7_gus_new_faith_announce,邪教影响从秘密转向公开
karma_guchenzhou_04,gu_chenzhou,guchenzhou_cult_line,4,换神失败或成功,Final,cult_influence>=70,arrest_or_exile,new_faith_route,Partial,w8_gus_jiang_identity_choice;final_aftermath_settles,终局决定顾沉舟是否完成换神计划
karma_huiyuan_01,huiyuan,huiyuan_temple_line,1,香火不足,W1,none,reform_possible,embezzlement_continues,Yes,w1_temple_concern,慧圆面对寺庙香火不足
karma_huiyuan_02,huiyuan,huiyuan_temple_line,2,推举巫女,W3-W4,temple_trust<=55,protective_ritual,exploit_chaoyin,Yes,w3_witch_candidate;w4_lin_respond_witch,慧圆用巫女路线挽回寺庙声望
karma_huiyuan_03,huiyuan,huiyuan_temple_line,3,账目疑点,W5-W7,zhou_investigation>=30,confession,exposed_scandal,Yes,w5_temple_account_issue;w7_huiyuan_exposed,寺庙腐败问题浮出水面
karma_huiyuan_04,huiyuan,huiyuan_temple_line,4,旧信仰去留,Final,temple_trust>=40,temple_reformed,temple_ruined,Partial,w8_final_venue_decision;final_aftermath_settles,终局决定旧信仰是否还能被修复
