OutcomeId,EventId,OutcomeName,TriggerCondition,ResourceDelta,BondDelta,KarmaDelta,NpcStateDelta,TownStateDelta,FollowUpEventIds,HistorySummaryKey,Description
out_intro_heaven_notice,intro_heaven_notice,绩效任务开启,always,"divine_power:+0;incense:+0",none,none,"tudi_gong:mission_started",none,none,event.intro_heaven_notice.summary,玩家获得60天考核目标和命运织线器
out_intro_underworld_whisper,intro_underworld_whisper,地府路线开放,always,"yin_de:+0",none,none,"tudi_gong:underworld_contacted",none,none,event.intro_underworld_whisper.summary,地府诱惑成为阴德路线的叙事入口
out_w1_chaoyin_study_good,w1_chaoyin_study,互相鼓励,blessing_or_no_risk,"yang_de:+1;divine_power:-3","bond_chaoyin_yuanzhou:+3","chaoyin_witch_line:+2;yuanzhou_leave_line:+2","lin_chaoyin:stress-3;chen_yuanzhou:stress-3",none,none,event.w1_chaoyin_study.good,两名学生获得短暂安心
out_w1_chaoyin_study_neutral,w1_chaoyin_study,普通复习,default,"incense:+0","bond_chaoyin_yuanzhou:+1","yuanzhou_leave_line:+1",none,none,none,event.w1_chaoyin_study.neutral,日常关系轻微增长
out_w2_gus_arrive_hidden,w2_gus_cult_arrive,外来者站稳脚跟,default,"cult_influence:+8","bond_he_laosan_guchenzhou:+8","guchenzhou_cult_line:+10","gu_chenzhou:settled;he_laosan:secret_contact",none,w2_port_anomaly,event.w2_gus_arrive.hidden,顾沉舟顺利完成身份伪装
out_w2_gus_arrive_watched,w2_gus_cult_arrive,夜船被注意,insight_or_warning,"divine_power:-1;yang_de:+2;cult_influence:+4","bond_he_laosan_zhouxingzhi:+5","guchenzhou_cult_line:+5","zhou_xingzhi:night_boat_hint",none,w2_port_anomaly,event.w2_gus_arrive.watched,玩家提前获得夜船异常线索
out_w2_chenhai_approach_risk,w2_gus_approach_chenhai,怨气被利用,default,"cult_influence:+5","bond_chenhai_guchenzhou:+10;bond_yuanzhou_chenhai:-3","chenhai_cult_line:+8","chen_haisheng:resentment+8",none,w3_gus_contact_chenhai,event.w2_chenhai_approach.risk,陈海生对顾沉舟的话产生兴趣
out_w2_chenhai_approach_resist,w2_gus_approach_chenhai,心头一冷,dream_hint,"divine_power:-2;yang_de:+2;cult_influence:+2","bond_chenhai_guchenzhou:+3","chenhai_cult_line:+3","chen_haisheng:warning_dream",none,none,event.w2_chenhai_approach.resist,托梦让陈海生暂时警惕顾沉舟
out_w3_witch_candidate_accept,w3_witch_candidate,巫女压力上升,default,"temple_trust:+4","bond_chaoyin_huiyuan:+8;bond_chaoyin_yuanzhou:-2","chaoyin_witch_line:+10","lin_chaoyin:faith_pressure+10;lin_chaoyin:stress+8",none,w4_lin_respond_witch,event.w3_witch_candidate.accept,林潮音被推到信仰舞台中央
out_w3_witch_candidate_soften,w3_witch_candidate,压力被缓冲,blessing_or_fate_pull,"divine_power:-3;yang_de:+3;temple_trust:+2","bond_chaoyin_huiyuan:+3;bond_chaoyin_yuanzhou:+2","chaoyin_witch_line:+5","lin_chaoyin:stress+3;lin_chaoyin:supported",none,w4_lin_respond_witch,event.w3_witch_candidate.soften,巫女压力仍在但林潮音感到有人支持
out_w3_chenhai_tantrum_bad,w3_chenhai_tantrums,家庭裂痕扩大,default,"incense:-1","bond_yuanzhou_chenhai:-5;bond_chenhai_suwan:-4","chenhai_cult_line:+5","chen_haisheng:stress+8;su_wan:stress+5;chen_yuanzhou:stress+4",none,w6_chenhai_family_conflict,event.w3_chenhai_tantrum.bad,家庭冲突推高陈海生风险
out_w3_chenhai_tantrum_help,w3_chenhai_tantrums,争吵被按下,blessing,"divine_power:-3;yang_de:+2","bond_yuanzhou_chenhai:-1;bond_chenhai_suwan:-1","chenhai_cult_line:+1","chen_haisheng:stress+2;su_wan:supported",none,none,event.w3_chenhai_tantrum.help,赐福不能解决根因但降低当次伤害
out_w4_xuqing_clinic_clue,w4_xuqing_clinic_anomaly,许晴发现线索,insight_or_no_hide,"yang_de:+2","bond_xuqing_jiangxueyi:-5;bond_xumingchuan_xuqing:+3","guchenzhou_cult_line:-2","xu_qing:clinic_suspicion;jiang_xueyi:cautious","public_order:+2",w7_xuming_evidence_chain,event.w4_xuqing_clinic.clue,许晴把诊所异常带入侦探线
out_w4_xuqing_clinic_missed,w4_xuqing_clinic_anomaly,线索被错过,omen_hide,"divine_power:-3;yin_de:+2","bond_xuqing_jiangxueyi:+3","guchenzhou_cult_line:+4","xu_qing:confused","cult_influence:+3",none,event.w4_xuqing_clinic.missed,遮蔽灾兆让诊所线索暂时消失
